(space) :217287479
e :143430217
i :118603598
u :114010492
s :102404362
t :95946819
a :94736897
l :74654397
n :73139029
r :65840714
m :53492872
o :50220453
c :48082492
. :33683924
d :31066001
p :29058925
, :28928032
b :17726365
g :17278283
v :16623801
q :14485832
f :8071925
h :7373811
P :6588435
S :4636754
N :4145042
M :3545953
C :3316034
V :3097875
D :2705184
A :2137968
I :2007073
F :1963443
\ :1451617
k :1451617
E :1439858
j :1308961
Q :959906
U :916273
y :829008
; :523584
L :174528
(enter) :87264
